id,date,prix,nb_chambres,nb_sdb,m2_interieur,m2_jardin,m2_etage,m2_soussol,nb_etages,vue_mer,vue_note,etat_note,design_note,annee_construction,annee_renovation,m2_interieur_15voisins,m2_jardin_15voisins,zipcode,lat,long,cos_month,day_count
4443800785,2014-11-21T00:00:00Z,481000,2,1.0,150,360,85,65,1.0,0,0,4,7,1924,0,123,360,98117,47.6855,-122.391,0.8660254037844384,203
2473003210,2015-03-13T00:00:00Z,364808,3,1.75,215,731,150,65,1.0,0,0,3,8,1967,0,184,903,98058,47.4524,-122.146,6.123233995736766e-17,315
6743700335,2014-06-04T00:00:00Z,470000,3,2.0,167,1176,167,0,1.0,0,0,3,7,1956,1990,183,908,98033,47.6935,-122.173,-1.0,33
9406510130,2015-05-05T00:00:00Z,448000,5,3.5,347,2293,256,91,2.0,0,0,3,9,1998,0,267,2417,98038,47.3832,-122.057,-0.8660254037844385,368
868000905,2014-07-08T00:00:00Z,950000,3,2.5,323,724,162,160,1.0,0,0,4,7,1941,1998,279,921,98177,47.7047,-122.378,-0.8660254037844388,67
4309710240,2014-07-22T00:00:00Z,725000,4,2.5,277,2709,277,0,2.0,0,3,3,9,1999,0,345,2709,98059,47.5146,-122.117,-0.8660254037844388,81
7167000020,2014-06-16T00:00:00Z,792500,4,2.5,398,16297,398,0,2.0,0,0,3,10,2004,0,313,5867,98010,47.3585,-121.988,-1.0,45
7222000090,2014-05-06T00:00:00Z,580000,4,3.25,331,773,331,0,2.0,0,0,3,10,2013,0,236,487,98055,47.4595,-122.208,-0.8660254037844385,4
4299700095,2014-05-16T00:00:00Z,254000,4,2.0,140,393,140,0,1.0,0,0,3,7,1955,0,140,396,98108,47.546,-122.293,-0.8660254037844385,14
4019300906,2014-07-24T00:00:00Z,685000,5,2.5,248,1342,248,0,2.0,0,0,5,9,1958,0,168,1342,98155,47.7565,-122.284,-0.8660254037844388,83
2768100180,2014-06-06T00:00:00Z,595000,4,2.5,184,202,156,28,2.0,0,0,3,8,2005,0,144,193,98107,47.6696,-122.371,-1.0,35
3630220220,2014-09-23T00:00:00Z,775000,4,3.5,284,424,223,60,2.0,0,0,3,9,2012,0,294,337,98029,47.5522,-122.001,-1.8369701987210297e-16,144
1423089055,2014-06-13T00:00:00Z,845000,4,2.75,378,10724,378,0,2.0,0,0,3,9,2002,0,275,8903,98045,47.4843,-121.752,-1.0,42
2131701020,2015-03-11T00:00:00Z,317000,3,1.5,129,771,129,0,1.0,0,0,4,7,1974,0,136,696,98019,47.7383,-121.983,6.123233995736766e-17,313
2215500080,2014-05-28T00:00:00Z,580000,5,2.0,180,557,90,90,1.0,0,0,5,7,1945,0,157,557,98115,47.6875,-122.287,-0.8660254037844385,26
7140700300,2014-11-19T00:00:00Z,312000,3,2.5,211,593,211,0,2.0,0,0,3,8,2008,0,236,449,98042,47.3861,-122.096,0.8660254037844384,201
2798600240,2014-11-14T00:00:00Z,295700,4,2.5,159,539,159,0,2.0,0,0,3,8,2000,0,219,715,98092,47.3286,-122.208,0.8660254037844384,196
7550801206,2014-09-04T00:00:00Z,624000,4,3.0,143,384,143,0,1.5,0,0,5,7,1902,0,135,464,98107,47.6728,-122.396,-1.8369701987210297e-16,125
9550200225,2014-07-11T00:00:00Z,625000,3,1.5,114,284,84,29,1.0,0,0,3,7,1927,0,117,416,98103,47.667,-122.333,-0.8660254037844388,70
1176001310,2015-03-04T00:00:00Z,2945000,5,4.5,403,531,403,0,3.0,0,4,3,10,2010,0,164,487,98107,47.6715,-122.406,6.123233995736766e-17,306
7878400135,2014-11-20T00:00:00Z,355000,3,2.25,236,898,171,65,1.0,0,0,3,7,1959,0,208,898,98178,47.4856,-122.247,0.8660254037844384,202
3205400290,2015-04-06T00:00:00Z,420200,3,1.75,122,676,122,0,1.0,0,0,3,7,1968,0,127,724,98034,47.7229,-122.18,-0.4999999999999998,339
6329000705,2015-04-02T00:00:00Z,545000,2,1.5,217,1243,118,98,1.0,0,0,4,7,1954,0,138,752,98146,47.5017,-122.377,-0.4999999999999998,335
7660100085,2014-09-08T00:00:00Z,750000,5,2.75,265,557,221,44,2.5,0,0,4,8,1902,0,208,557,98144,47.5906,-122.316,-1.8369701987210297e-16,129
7116000225,2015-02-20T00:00:00Z,190000,3,1.0,140,813,140,0,1.0,0,0,4,6,1946,0,96,727,98002,47.3015,-122.216,0.5000000000000001,294
3861470120,2014-11-26T00:00:00Z,1610000,4,2.75,396,2397,396,0,2.0,0,0,3,11,1996,0,358,1925,98004,47.5951,-122.206,0.8660254037844384,208
8079100210,2015-03-04T00:00:00Z,620000,4,2.5,197,849,197,0,2.0,0,0,3,9,1988,0,199,759,98029,47.5648,-122.01,6.123233995736766e-17,306
8109800110,2014-08-01T00:00:00Z,717550,3,3.5,263,415,263,0,3.0,0,0,3,10,2006,0,282,501,98052,47.7069,-122.117,-0.5000000000000004,91
2436700315,2014-10-14T00:00:00Z,441500,2,1.75,93,371,93,0,1.5,0,0,5,7,1919,0,136,371,98105,47.6665,-122.287,0.49999999999999933,165
318900120,2015-01-23T00:00:00Z,495000,4,2.5,220,1424,220,0,2.0,0,0,3,8,1995,0,196,1479,98024,47.5633,-121.901,0.8660254037844387,266
1524800005,2014-08-12T00:00:00Z,325000,2,1.0,130,1003,130,0,1.0,0,0,4,7,1974,0,144,1047,98011,47.7726,-122.21,-0.5000000000000004,102
1952000150,2014-05-06T00:00:00Z,530000,5,2.5,270,895,157,113,1.0,0,0,4,7,1964,0,262,964,98008,47.5803,-122.119,-0.8660254037844385,4
1432701510,2014-10-21T00:00:00Z,249000,4,2.0,118,702,118,0,1.0,0,0,5,6,1959,0,116,714,98058,47.45,-122.175,0.49999999999999933,172
7130300690,2014-10-28T00:00:00Z,308000,2,1.0,100,580,100,0,1.0,0,2,4,7,1942,1968,195,638,98118,47.5128,-122.251,0.49999999999999933,179
1450100330,2015-03-12T00:00:00Z,237950,3,1.75,121,679,121,0,1.0,0,0,5,6,1960,0,93,679,98002,47.2888,-122.221,6.123233995736766e-17,314
2473002700,2014-06-27T00:00:00Z,415000,3,1.75,223,830,172,51,1.0,0,0,4,8,1967,0,255,891,98058,47.4494,-122.139,-1.0,56
1930301555,2014-07-01T00:00:00Z,500000,2,1.0,88,418,78,9,1.0,0,2,3,7,1926,0,155,371,98103,47.6562,-122.354,-0.8660254037844388,60
9332800020,2014-07-15T00:00:00Z,745000,4,2.25,212,967,212,0,2.0,0,0,3,8,1972,0,189,967,98005,47.6351,-122.168,-0.8660254037844388,74
7140200380,2014-10-30T00:00:00Z,275000,3,2.0,177,747,92,84,1.0,0,0,4,7,1980,0,165,682,98030,47.37,-122.17,0.49999999999999933,181
7399300850,2014-10-03T00:00:00Z,290000,3,2.25,139,695,112,26,1.0,0,0,4,7,1968,0,137,678,98055,47.4619,-122.187,0.49999999999999933,154
203100690,2015-04-25T00:00:00Z,1078000,4,2.75,293,3969,293,0,2.0,0,0,3,9,1995,0,175,2229,98053,47.6367,-121.958,-0.4999999999999998,358
8000200090,2015-04-27T00:00:00Z,280000,3,2.5,149,931,149,0,2.0,0,0,3,7,1996,0,169,930,98003,47.2583,-122.3,-0.4999999999999998,360
9359100101,2015-04-14T00:00:00Z,1370000,5,2.25,326,1286,171,154,1.0,0,2,3,8,1959,0,248,812,98040,47.5817,-122.246,-0.4999999999999998,347
84000245,2014-11-20T00:00:00Z,190000,3,1.75,102,878,102,0,1.0,0,0,3,6,1942,0,125,878,98146,47.4864,-122.337,0.8660254037844384,202
9424400200,2014-05-15T00:00:00Z,451555,2,1.0,122,419,122,0,1.0,0,1,3,6,1912,1971,131,423,98116,47.5655,-122.394,-0.8660254037844385,13
3056800230,2014-08-20T00:00:00Z,397000,4,2.5,166,612,166,0,2.0,0,0,3,7,2005,0,181,481,98059,47.4829,-122.128,-0.5000000000000004,110
2524069072,2014-06-26T00:00:00Z,243800,3,1.0,105,2578,105,0,1.0,0,0,4,6,1981,0,157,8110,98027,47.5372,-121.972,-1.0,55
